Name,Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,M/L GRF,Vertical GRF,Knee flex/extension angle,Knee in/external rotation angle,A/P pelvic lean,Ipsi/contralateral pelvic lean,EMG activation for tibialis anterior ,EMG activation for gastrocnemius,EMG activation for soleus
53,5.094995212,12.7943,3.47536,1.72602,0.206577,20.5086,-0.172151,-5.0509,8.85264,17.8054,6.26591,28.1453,-0.166493,0.381464652,0.715389311,0.792717787
54,26.67287514,8.07582,3.28935,1.31045,0.140032,16.3711,-0.225418,-4.00015,6.72648,15.8188,4.82966,27.9347,-0.683792,0.363446006,0.69039694,0.772561576
55,14.15193528,9.34696,7.0749,1.29934,0.286464,-6.47855,-1.05215,0.603735,9.46702,33.8766,-6.12518,8.63345,0.530657,0.996992437,0.97963369,0.96632308
56,8.813525766,11.8162,7.46724,1.76601,0.374338,-9.39166,-1.13483,-1.17144,11.3956,33.4334,-5.03021,8.23833,0.627325,0.99486249,0.987801482,0.971953331
57,7.274758967,14.3778,7.85536,2.26311,0.463933,-12.382,-1.00866,-1.63677,14.1758,33.1334,-3.93623,7.92902,0.737647,0.993048091,0.995209714,0.977028692
58,7.271411365,15.0441,6.51953,2.46916,0.532818,18.4274,-0.0955827,-4.60804,14.4911,28.5202,-4.92261,8.00684,-3.37235,0.95061088,0.905728594,0.960843899
59,9.784769514,12.243,6.21272,2.14244,0.444096,18.2289,-0.0394798,-4.36154,12.5441,26.9181,-5.82268,7.5541,-3.95545,0.951892793,0.900128112,0.948093036
60,22.39634567,9.0915,5.87565,1.80244,0.354604,17.0135,0.0143477,-4.00386,10.5271,25.3291,-6.74343,7.10932,-4.51993,0.953268383,0.893697179,0.932742031
61,19.27027552,8.67418,0.385659,1.86567,-0.275313,-11.6775,-1.76328,0.991469,24.1858,39.6118,-8.96291,15.6009,14.0116,0.999890199,0.992068848,0.890685373
62,7.982936639,10.7088,0.458921,1.89607,-0.259614,-11.8714,-1.50017,1.7432,22.6604,41.338,-7.62849,15.8081,14.0687,0.999359494,0.994829584,0.909858939
63,5.128999851,12.6934,0.508898,1.91266,-0.216696,-11.7555,-0.877048,2.12533,21.2217,43.0883,-6.44413,16.0334,14.0729,0.99652907,0.997426721,0.92766406
64,3.957393071,14.5912,0.544551,1.98139,-0.186116,-11.7583,-0.387236,2.15507,20.8924,44.7765,-5.38663,16.2666,14.0153,0.991710028,0.999154738,0.941881325
65,5.544895513,11.2709,-1.8655,1.53066,0.121308,16.3713,-0.319728,-3.88179,10.3221,31.6193,-3.94306,14.0542,-1.52549,0.711070986,0.861482618,0.932716191
66,50.99077851,7.64893,-2.242,1.28454,0.104451,14.8033,-0.328579,-3.633,8.64853,29.7274,-4.83301,13.8168,-2.15469,0.686353571,0.83838105,0.930094296
67,6.564153067,12.3717,5.40969,1.03327,-0.38538,-1.40902,-0.336642,-1.90698,12.7211,32.8326,2.13209,25.6506,8.10361,0.979031668,0.94122395,0.98594835
68,6.877452542,19.8913,4.5497,2.61695,-0.189864,15.7613,-0.0194491,-5.48109,15.5878,28.7367,6.59906,26.0577,1.13763,0.561522307,0.86468542,0.754982302
69,7.939509285,17.6075,4.39025,2.49295,-0.17587,17.9426,-0.0146164,-5.48286,14.6958,26.8246,5.81734,25.755,0.460206,0.544604427,0.849792224,0.735312588
70,9.996340335,14.9193,4.20019,2.34224,-0.165145,19.7473,-0.00758848,-5.4406,13.6809,24.7191,4.88431,25.4226,-0.252373,0.527701961,0.834617828,0.715188757
71,15.38932917,11.8073,3.9697,2.15747,-0.152226,20.8646,0.00409062,-5.31967,12.5647,22.4157,3.77048,25.0654,-0.99967,0.510443064,0.819099743,0.692623078
72,62.70406162,8.27464,3.69255,1.93876,-0.137972,21.0335,0.023494,-5.13312,11.3276,19.9212,2.46426,24.6893,-1.77948,0.493193801,0.803040087,0.667929542
73,17.79422676,9.98215,4.97749,2.84913,-0.315789,-17.4756,-1.02906,-4.06276,16.3452,40.779,3.06978,24.1355,5.86836,0.935857491,0.997525962,1
74,10.84377736,12.4509,5.17398,3.30113,-0.367038,-19.04,-0.946419,-3.90269,19.2951,40.9794,3.89546,24.7175,5.66202,0.91760363,1,0.999875876
75,8.322894385,14.6821,5.35878,3.60198,-0.400741,-18.6873,-0.516159,-2.25006,22.2846,41.208,4.65494,25.3518,5.45906,0.898299919,0.999185378,0.999479862
76,9.825812496,13.97,4.10274,3.852,-0.272962,24.0913,-1.2233,-7.67382,21.6965,37.1019,3.46051,26.7177,1.35255,0.61130317,0.91337851,0.967863771
77,13.61138235,11.7787,3.6661,3.61207,-0.256358,27.4877,-1.1394,-7.98642,20.2489,35.6634,2.03896,26.1755,0.681123,0.605007451,0.903259092,0.961840814
78,30.23985912,9.12809,3.18983,3.31522,-0.242627,30.1013,-1.08714,-8.16186,18.4507,34.0024,0.357415,25.6083,-0.0220585,0.604204145,0.892922442,0.955475039
79,2.850286322,25.0699,1.8593,3.27829,-0.184,15.2754,0.3234,-6.19701,18.4796,32.3386,4.04294,20.3456,-3.59881,0.39551952,0.908588289,0.965893481
80,3.012463358,23.4341,1.73358,3.16404,-0.171094,19.6569,0.24458,-6.36251,17.5371,30.4627,3.105,20.2015,-3.80993,0.354017141,0.900537786,0.959256854
81,3.278350155,21.2553,1.5787,3.00116,-0.159938,23.6764,0.178224,-6.54359,16.2995,28.344,1.93117,20.0278,-4.05938,0.323140539,0.890593302,0.952173218
82,3.752133725,18.4877,1.3967,2.78047,-0.149339,26.7315,0.117445,-6.58591,14.8039,26.0215,0.59463,19.8308,-4.33708,0.340090947,0.879791966,0.944574052
83,4.752833288,15.1101,1.19116,2.48806,-0.136452,28.0002,0.0642973,-6.41261,13.0486,23.5503,-0.811809,19.6193,-4.62757,0.367016656,0.868260839,0.935177058
84,8.177356794,11.1382,0.967031,2.1348,-0.131388,27.0698,-0.00685011,-5.96805,11.0721,21.0006,-2.18681,19.4026,-4.91101,0.394554814,0.856429977,0.923796255
85,26.47495919,8.16473,-0.507521,1.97715,-0.686555,-14.6838,1.15785,1.34199,23.6799,27.106,-4.51334,14.5504,4.28373,0.99557774,0.999974091,0.909581828
86,5.598872327,12.4155,-0.339083,2.41557,-0.77003,-15.7952,0.146622,2.57219,27.3647,30.1156,-3.63159,14.4031,4.14592,0.997470413,0.996579994,0.936237799
87,3.774073953,15.865,-0.24176,2.69266,-0.692847,-13.471,0.634235,2.61696,26.7423,32.1908,-3.2733,14.3332,3.90659,0.998288012,0.988818358,0.961962345
88,3.629579712,17.3093,-0.824686,3.01093,-0.48083,12.3384,0.819854,-1.45894,22.977,26.1653,-8.23527,14.8223,0.823785,0.999241124,0.922572407,0.996182775
89,4.26364956,14.4897,-1.06506,2.56597,-0.398493,14.074,0.478516,-2.10983,19.4215,22.9907,-9.91714,15.1082,-0.0229127,0.995993315,0.899890812,0.990664219
90,6.56834968,10.8632,-1.29168,1.98586,-0.303292,12.5379,0.215928,-2.41872,14.8945,19.9848,-11.5003,15.4893,-0.835644,0.984429488,0.857459054,0.979147935
91,1.958599123,23.2128,1.59734,2.37296,0.0701961,14.1256,0.172368,-3.53873,14.7249,35.4253,27.1389,5.83039,0.736599,0.22180606,0.701082949,0.792813209
92,2.086297936,21.0731,1.45732,2.20427,0.0763839,15.5898,0.0103246,-3.64061,13.4116,33.824,26.3258,5.52678,0.237132,0.215952441,0.66729388,0.765023158
93,2.299530828,18.5782,1.31614,2.0069,0.0807307,16.2307,-0.0944893,-3.64964,11.9945,32.239,25.46,5.19325,-0.230572,0.210872918,0.631506966,0.735880341
94,2.690248202,15.7632,1.17495,1.77935,0.0824385,15.9052,-0.13405,-3.5647,10.4404,30.6872,24.5649,4.83429,-0.659137,0.206048587,0.594370276,0.705980471
95,3.550204575,12.6867,1.03554,1.51114,0.0802255,14.4706,-0.114575,-3.31076,8.74856,29.1877,23.6672,4.45484,-1.04217,0.201698447,0.559723073,0.677257135
96,7.113501286,9.4298,0.900212,1.21366,0.072896,12.0796,-0.0879068,-2.84711,6.95691,27.7613,22.7944,4.06041,-1.37457,0.198035715,0.523198698,0.648389835
97,3.09097615,27.7224,3.84511,3.60578,0.604959,24.7384,-1.26679,-5.67349,19.8696,30.1185,-2.92086,25.7497,0.22648,0.766543189,0.975819429,0.989538834
